group_variable,group_value,sessions,actual_future_purchase_rate,positive_prediction_rate,precision,recall_true_positive_rate,false_positive_rate,false_negative_rate,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,positive_prediction_rate_percent,actual_future_purchase_rate_percent,risk_view
early_cart_group,No cart in first two events,12447,0.07704667791435688,0.0017674941753032859,0.36363636363636365,0.008342022940563087,0.0012186629526462396,0.9916579770594369,0.0163098878695209,0.9224712782196514,8,14,951,11474,0.17674941753032858,7.704667791435687,Lowest recall groups
brand_clean_first_grouped,defacto,327,0.0672782874617737,0.01529051987767584,0.4,0.09090909090909091,0.009836065573770493,0.9090909090909091,0.14814814814814814,0.9296636085626911,2,3,20,302,1.529051987767584,6.727828746177369,Lowest recall groups
brand_clean_second_grouped,defacto,329,0.06382978723404255,0.015197568389057751,0.4,0.09523809523809523,0.00974025974025974,0.9047619047619048,0.15384615384615385,0.9331306990881459,2,3,19,305,1.5197568389057752,6.382978723404255,Lowest recall groups
early_event_gap_band,Very long gap,1776,0.08783783783783784,0.03209459459459459,0.45614035087719296,0.16666666666666666,0.019135802469135803,0.8333333333333334,0.24413145539906103,0.9093468468468469,26,31,130,1589,3.209459459459459,8.783783783783784,Lowest recall groups
brand_clean_first_grouped,adidas,345,0.034782608695652174,0.02608695652173913,0.2222222222222222,0.16666666666666666,0.021021021021021023,0.8333333333333334,0.19047619047619047,0.9507246376811594,2,7,10,326,2.608695652173913,3.4782608695652173,Lowest recall groups
brand_clean_second_grouped,adidas,331,0.03625377643504532,0.027190332326283987,0.2222222222222222,0.16666666666666666,0.0219435736677116,0.8333333333333334,0.19047619047619047,0.9486404833836858,2,7,10,312,2.719033232628399,3.625377643504532,Lowest recall groups
early_event_gap_band,Long gap,3857,0.09618874773139746,0.048742546020222974,0.5106382978723404,0.2587601078167116,0.026391279403327597,0.7412398921832885,0.3434704830053667,0.9048483277158413,96,92,275,3394,4.874254602022297,9.618874773139746,Lowest recall groups
first_category_group,computers,473,0.12050739957716702,0.06553911205073996,0.6129032258064516,0.3333333333333333,0.028846153846153848,0.6666666666666666,0.4318181818181818,0.8942917547568711,19,12,38,404,6.553911205073996,12.050739957716702,Lowest recall groups
second_category_group,computers,432,0.13194444444444445,0.06944444444444445,0.6333333333333333,0.3333333333333333,0.029333333333333333,0.6666666666666666,0.4367816091954023,0.8865740740740741,19,11,38,364,6.944444444444445,13.194444444444445,Lowest recall groups
first_category_group,furniture,729,0.13443072702331962,0.08916323731138547,0.5538461538461539,0.3673469387755102,0.04595879556259905,0.6326530612244898,0.44171779141104295,0.8751714677640604,36,29,62,602,8.916323731138547,13.443072702331962,Lowest recall groups
first_price_band,Lower-middle price quartile,3496,0.11899313501144165,0.08037757437070939,0.5551601423487544,0.375,0.040584415584415584,0.625,0.44763271162123386,0.8898741418764302,156,125,260,2955,8.037757437070939,11.899313501144166,Lowest recall groups
second_category_group,apparel,1565,0.09840255591054313,0.06645367412140575,0.5576923076923077,0.37662337662337664,0.03260099220411056,0.6233766233766234,0.4496124031007752,0.9092651757188498,58,46,96,1365,6.645367412140575,9.840255591054312,Lowest recall groups
second_category_group,electronics,1305,0.1318007662835249,0.08199233716475096,0.6074766355140186,0.37790697674418605,0.037069726390114736,0.622093023255814,0.4659498207885305,0.885823754789272,65,42,107,1091,8.199233716475096,13.180076628352491,Lowest recall groups
second_category_group,furniture,743,0.1278600269179004,0.08613728129205922,0.5625,0.37894736842105264,0.043209876543209874,0.6210526315789474,0.4528301886792453,0.882907133243607,36,28,59,620,8.613728129205922,12.78600269179004,Lowest recall groups
first_category_group,apparel,1526,0.09895150720838794,0.0674967234600262,0.5631067961165048,0.3841059602649007,0.03272727272727273,0.6158940397350994,0.4566929133858268,0.90956749672346,58,45,93,1330,6.749672346002621,9.895150720838794,Lowest recall groups
early_cart_group,At least one cart in first two events,1473,0.6164290563475899,0.9959266802443992,0.6175869120654397,0.9977973568281938,0.9929203539823008,0.0022026431718061676,0.7629473684210526,0.6177868295994569,906,561,2,4,99.59266802443992,61.642905634758996,Highest false positive rate groups
early_event_gap_band,Short gap,522,0.421455938697318,0.5708812260536399,0.7013422818791947,0.95,0.2947019867549669,0.05,0.806949806949807,0.8084291187739464,209,89,11,213,57.08812260536399,42.1455938697318,Highest false positive rate groups
early_event_gap_band,Moderate gap,2415,0.18343685300207038,0.1937888198757764,0.6346153846153846,0.6704288939051919,0.08671399594320486,0.3295711060948081,0.6520307354555434,0.8687370600414078,297,171,146,1801,19.37888198757764,18.34368530020704,Highest false positive rate groups
brand_clean_first_grouped,oppo,185,0.16216216216216217,0.1891891891891892,0.6285714285714286,0.7333333333333333,0.08387096774193549,0.26666666666666666,0.676923076923077,0.8864864864864865,22,13,8,142,18.91891891891892,16.216216216216218,Highest false positive rate groups
brand_clean_second_grouped,apple,960,0.17916666666666667,0.1875,0.6666666666666666,0.6976744186046512,0.07614213197969544,0.3023255813953488,0.6818181818181818,0.8833333333333333,120,60,52,728,18.75,17.916666666666668,Highest false positive rate groups
brand_clean_second_grouped,oppo,202,0.15346534653465346,0.17326732673267325,0.6285714285714286,0.7096774193548387,0.07602339181286549,0.2903225806451613,0.6666666666666666,0.8910891089108911,22,13,9,158,17.326732673267326,15.346534653465346,Highest false positive rate groups
brand_clean_first_grouped,apple,987,0.17223910840932116,0.182370820668693,0.6666666666666666,0.7058823529411765,0.07343941248470012,0.29411764705882354,0.6857142857142857,0.8885511651469098,120,60,50,757,18.237082066869302,17.223910840932117,Highest false positive rate groups
brand_clean_second_grouped,samsung,1861,0.18699623858140785,0.17141321869962386,0.6614420062695925,0.6063218390804598,0.0713813615333774,0.3936781609195402,0.6326836581709145,0.8683503492745835,211,108,137,1405,17.141321869962386,18.699623858140786,Highest false positive rate groups
brand_clean_first_grouped,samsung,1904,0.19065126050420167,0.16754201680672268,0.6614420062695925,0.581267217630854,0.07008436080467229,0.418732782369146,0.6187683284457478,0.8634453781512605,211,108,152,1433,16.754201680672267,19.06512605042017,Highest false positive rate groups
second_category_group,unknown,1399,0.14939242315939957,0.12866333095067906,0.5944444444444444,0.5119617224880383,0.06134453781512605,0.4880382775119617,0.5501285347043702,0.8749106504646176,107,73,102,1117,12.866333095067905,14.939242315939957,Highest false positive rate groups
first_category_group,unknown,1388,0.15345821325648415,0.12896253602305474,0.5977653631284916,0.5023474178403756,0.06127659574468085,0.49765258215962443,0.5459183673469388,0.8717579250720461,107,72,106,1103,12.896253602305475,15.345821325648416,Highest false positive rate groups
brand_clean_second_grouped,lg,197,0.16243654822335024,0.13705583756345177,0.6296296296296297,0.53125,0.06060606060606061,0.46875,0.576271186440678,0.8730964467005076,17,10,15,155,13.705583756345177,16.243654822335024,Highest false positive rate groups
first_category_group,construction,4002,0.16041979010494753,0.1454272863568216,0.6529209621993127,0.5919003115264797,0.06011904761904762,0.40809968847352024,0.6209150326797386,0.8840579710144928,380,202,262,3158,14.54272863568216,16.041979010494753,Highest false positive rate groups
second_category_group,construction,4005,0.15905118601747814,0.1453183520599251,0.6529209621993127,0.5965463108320251,0.05997624703087886,0.40345368916797486,0.623461853978671,0.8853932584269663,380,202,257,3166,14.531835205992511,15.905118601747814,Highest false positive rate groups
first_event_hour_group,Morning,4876,0.16406890894175555,0.1359721082854799,0.6365007541478129,0.5275,0.05912659470068695,0.4725,0.5768967874231032,0.8730516817063166,422,241,378,3835,13.59721082854799,16.406890894175554,Highest false positive rate groups
early_cart_group,At least one cart in first two events,1473,0.6164290563475899,0.9959266802443992,0.6175869120654397,0.9977973568281938,0.9929203539823008,0.0022026431718061676,0.7629473684210526,0.6177868295994569,906,561,2,4,99.59266802443992,61.642905634758996,Highest positive prediction rate groups
early_event_gap_band,Short gap,522,0.421455938697318,0.5708812260536399,0.7013422818791947,0.95,0.2947019867549669,0.05,0.806949806949807,0.8084291187739464,209,89,11,213,57.08812260536399,42.1455938697318,Highest positive prediction rate groups
early_event_gap_band,Moderate gap,2415,0.18343685300207038,0.1937888198757764,0.6346153846153846,0.6704288939051919,0.08671399594320486,0.3295711060948081,0.6520307354555434,0.8687370600414078,297,171,146,1801,19.37888198757764,18.34368530020704,Highest positive prediction rate groups
brand_clean_first_grouped,oppo,185,0.16216216216216217,0.1891891891891892,0.6285714285714286,0.7333333333333333,0.08387096774193549,0.26666666666666666,0.676923076923077,0.8864864864864865,22,13,8,142,18.91891891891892,16.216216216216218,Highest positive prediction rate groups
brand_clean_second_grouped,apple,960,0.17916666666666667,0.1875,0.6666666666666666,0.6976744186046512,0.07614213197969544,0.3023255813953488,0.6818181818181818,0.8833333333333333,120,60,52,728,18.75,17.916666666666668,Highest positive prediction rate groups
brand_clean_first_grouped,apple,987,0.17223910840932116,0.182370820668693,0.6666666666666666,0.7058823529411765,0.07343941248470012,0.29411764705882354,0.6857142857142857,0.8885511651469098,120,60,50,757,18.237082066869302,17.223910840932117,Highest positive prediction rate groups
brand_clean_second_grouped,oppo,202,0.15346534653465346,0.17326732673267325,0.6285714285714286,0.7096774193548387,0.07602339181286549,0.2903225806451613,0.6666666666666666,0.8910891089108911,22,13,9,158,17.326732673267326,15.346534653465346,Highest positive prediction rate groups
brand_clean_second_grouped,samsung,1861,0.18699623858140785,0.17141321869962386,0.6614420062695925,0.6063218390804598,0.0713813615333774,0.3936781609195402,0.6326836581709145,0.8683503492745835,211,108,137,1405,17.141321869962386,18.699623858140786,Highest positive prediction rate groups
brand_clean_first_grouped,samsung,1904,0.19065126050420167,0.16754201680672268,0.6614420062695925,0.581267217630854,0.07008436080467229,0.418732782369146,0.6187683284457478,0.8634453781512605,211,108,152,1433,16.754201680672267,19.06512605042017,Highest positive prediction rate groups
brand_clean_first_grouped,huawei,273,0.18315018315018314,0.1575091575091575,0.7209302325581395,0.62,0.053811659192825115,0.38,0.6666666666666666,0.8864468864468864,31,12,19,211,15.75091575091575,18.315018315018314,Highest positive prediction rate groups
first_category_group,construction,4002,0.16041979010494753,0.1454272863568216,0.6529209621993127,0.5919003115264797,0.06011904761904762,0.40809968847352024,0.6209150326797386,0.8840579710144928,380,202,262,3158,14.54272863568216,16.041979010494753,Highest positive prediction rate groups
second_category_group,construction,4005,0.15905118601747814,0.1453183520599251,0.6529209621993127,0.5965463108320251,0.05997624703087886,0.40345368916797486,0.623461853978671,0.8853932584269663,380,202,257,3166,14.531835205992511,15.905118601747814,Highest positive prediction rate groups
brand_clean_second_grouped,huawei,297,0.17845117845117844,0.1447811447811448,0.7209302325581395,0.5849056603773585,0.04918032786885246,0.41509433962264153,0.6458333333333334,0.8855218855218855,31,12,22,232,14.47811447811448,17.845117845117844,Highest positive prediction rate groups
first_price_band,Upper-middle price quartile,3470,0.16224783861671468,0.13948126801152738,0.6900826446280992,0.5932504440497336,0.05159958720330237,0.4067495559502664,0.6380133715377269,0.8907780979827089,334,150,229,2757,13.948126801152739,16.22478386167147,Highest positive prediction rate groups
brand_clean_second_grouped,lg,197,0.16243654822335024,0.13705583756345177,0.6296296296296297,0.53125,0.06060606060606061,0.46875,0.576271186440678,0.8730964467005076,17,10,15,155,13.705583756345177,16.243654822335024,Highest positive prediction rate groups
early_cart_group,No cart in first two events,12447,0.07704667791435688,0.0017674941753032859,0.36363636363636365,0.008342022940563087,0.0012186629526462396,0.9916579770594369,0.0163098878695209,0.9224712782196514,8,14,951,11474,0.17674941753032858,7.704667791435687,Highest false negative rate groups
brand_clean_first_grouped,defacto,327,0.0672782874617737,0.01529051987767584,0.4,0.09090909090909091,0.009836065573770493,0.9090909090909091,0.14814814814814814,0.9296636085626911,2,3,20,302,1.529051987767584,6.727828746177369,Highest false negative rate groups
brand_clean_second_grouped,defacto,329,0.06382978723404255,0.015197568389057751,0.4,0.09523809523809523,0.00974025974025974,0.9047619047619048,0.15384615384615385,0.9331306990881459,2,3,19,305,1.5197568389057752,6.382978723404255,Highest false negative rate groups
early_event_gap_band,Very long gap,1776,0.08783783783783784,0.03209459459459459,0.45614035087719296,0.16666666666666666,0.019135802469135803,0.8333333333333334,0.24413145539906103,0.9093468468468469,26,31,130,1589,3.209459459459459,8.783783783783784,Highest false negative rate groups
brand_clean_first_grouped,adidas,345,0.034782608695652174,0.02608695652173913,0.2222222222222222,0.16666666666666666,0.021021021021021023,0.8333333333333334,0.19047619047619047,0.9507246376811594,2,7,10,326,2.608695652173913,3.4782608695652173,Highest false negative rate groups
brand_clean_second_grouped,adidas,331,0.03625377643504532,0.027190332326283987,0.2222222222222222,0.16666666666666666,0.0219435736677116,0.8333333333333334,0.19047619047619047,0.9486404833836858,2,7,10,312,2.719033232628399,3.625377643504532,Highest false negative rate groups
early_event_gap_band,Long gap,3857,0.09618874773139746,0.048742546020222974,0.5106382978723404,0.2587601078167116,0.026391279403327597,0.7412398921832885,0.3434704830053667,0.9048483277158413,96,92,275,3394,4.874254602022297,9.618874773139746,Highest false negative rate groups
first_category_group,computers,473,0.12050739957716702,0.06553911205073996,0.6129032258064516,0.3333333333333333,0.028846153846153848,0.6666666666666666,0.4318181818181818,0.8942917547568711,19,12,38,404,6.553911205073996,12.050739957716702,Highest false negative rate groups
second_category_group,computers,432,0.13194444444444445,0.06944444444444445,0.6333333333333333,0.3333333333333333,0.029333333333333333,0.6666666666666666,0.4367816091954023,0.8865740740740741,19,11,38,364,6.944444444444445,13.194444444444445,Highest false negative rate groups
first_category_group,furniture,729,0.13443072702331962,0.08916323731138547,0.5538461538461539,0.3673469387755102,0.04595879556259905,0.6326530612244898,0.44171779141104295,0.8751714677640604,36,29,62,602,8.916323731138547,13.443072702331962,Highest false negative rate groups
first_price_band,Lower-middle price quartile,3496,0.11899313501144165,0.08037757437070939,0.5551601423487544,0.375,0.040584415584415584,0.625,0.44763271162123386,0.8898741418764302,156,125,260,2955,8.037757437070939,11.899313501144166,Highest false negative rate groups
second_category_group,apparel,1565,0.09840255591054313,0.06645367412140575,0.5576923076923077,0.37662337662337664,0.03260099220411056,0.6233766233766234,0.4496124031007752,0.9092651757188498,58,46,96,1365,6.645367412140575,9.840255591054312,Highest false negative rate groups
second_category_group,electronics,1305,0.1318007662835249,0.08199233716475096,0.6074766355140186,0.37790697674418605,0.037069726390114736,0.622093023255814,0.4659498207885305,0.885823754789272,65,42,107,1091,8.199233716475096,13.180076628352491,Highest false negative rate groups
second_category_group,furniture,743,0.1278600269179004,0.08613728129205922,0.5625,0.37894736842105264,0.043209876543209874,0.6210526315789474,0.4528301886792453,0.882907133243607,36,28,59,620,8.613728129205922,12.78600269179004,Highest false negative rate groups
first_category_group,apparel,1526,0.09895150720838794,0.0674967234600262,0.5631067961165048,0.3841059602649007,0.03272727272727273,0.6158940397350994,0.4566929133858268,0.90956749672346,58,45,93,1330,6.749672346002621,9.895150720838794,Highest false negative rate groups
