group_variable,group_value,sessions,actual_future_purchase_rate,positive_prediction_rate,precision,recall_true_positive_rate,false_positive_rate,false_negative_rate,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,positive_prediction_rate_percent,actual_future_purchase_rate_percent
brand_clean_first_grouped,other_brand,6987,0.12079576356089881,0.08472878202375841,0.5793918918918919,0.40639810426540285,0.04053394107113788,0.5936018957345972,0.4777158774373259,0.892657793044225,343,249,501,5894,8.472878202375842,12.07957635608988
brand_clean_first_grouped,samsung,1904,0.19065126050420167,0.16754201680672268,0.6614420062695925,0.581267217630854,0.07008436080467229,0.418732782369146,0.6187683284457478,0.8634453781512605,211,108,152,1433,16.754201680672267,19.06512605042017
brand_clean_first_grouped,unknown,1692,0.11583924349881797,0.09160756501182032,0.567741935483871,0.4489795918367347,0.04478609625668449,0.5510204081632653,0.5014245014245015,0.8965721040189125,88,67,108,1429,9.160756501182032,11.583924349881796
brand_clean_first_grouped,apple,987,0.17223910840932116,0.182370820668693,0.6666666666666666,0.7058823529411765,0.07343941248470012,0.29411764705882354,0.6857142857142857,0.8885511651469098,120,60,50,757,18.237082066869302,17.223910840932117
brand_clean_first_grouped,xiaomi,824,0.14563106796116504,0.12135922330097088,0.62,0.5166666666666667,0.05397727272727273,0.48333333333333334,0.5636363636363636,0.883495145631068,62,38,58,666,12.135922330097088,14.563106796116504
brand_clean_first_grouped,adidas,345,0.034782608695652174,0.02608695652173913,0.2222222222222222,0.16666666666666666,0.021021021021021023,0.8333333333333334,0.19047619047619047,0.9507246376811594,2,7,10,326,2.608695652173913,3.4782608695652173
brand_clean_first_grouped,defacto,327,0.0672782874617737,0.01529051987767584,0.4,0.09090909090909091,0.009836065573770493,0.9090909090909091,0.14814814814814814,0.9296636085626911,2,3,20,302,1.529051987767584,6.727828746177369
brand_clean_first_grouped,huawei,273,0.18315018315018314,0.1575091575091575,0.7209302325581395,0.62,0.053811659192825115,0.38,0.6666666666666666,0.8864468864468864,31,12,19,211,15.75091575091575,18.315018315018314
brand_clean_first_grouped,lg,203,0.15270935960591134,0.1330049261083744,0.6296296296296297,0.5483870967741935,0.05813953488372093,0.45161290322580644,0.5862068965517241,0.8817733990147784,17,10,14,162,13.30049261083744,15.270935960591133
brand_clean_first_grouped,arg,193,0.15025906735751296,0.12435233160621761,0.6666666666666666,0.5517241379310345,0.04878048780487805,0.4482758620689655,0.6037735849056604,0.8911917098445595,16,8,13,156,12.435233160621761,15.025906735751295
brand_clean_first_grouped,oppo,185,0.16216216216216217,0.1891891891891892,0.6285714285714286,0.7333333333333333,0.08387096774193549,0.26666666666666666,0.676923076923077,0.8864864864864865,22,13,8,142,18.91891891891892,16.216216216216218
brand_clean_second_grouped,other_brand,7001,0.11884016569061563,0.0857020425653478,0.575,0.41466346153846156,0.04133571081212514,0.5853365384615384,0.4818435754189944,0.8940151406941865,345,255,487,5914,8.57020425653478,11.884016569061563
brand_clean_second_grouped,samsung,1861,0.18699623858140785,0.17141321869962386,0.6614420062695925,0.6063218390804598,0.0713813615333774,0.3936781609195402,0.6326836581709145,0.8683503492745835,211,108,137,1405,17.141321869962386,18.699623858140786
brand_clean_second_grouped,unknown,1714,0.11901983663943991,0.09043173862310384,0.567741935483871,0.43137254901960786,0.04437086092715232,0.5686274509803921,0.49025069637883006,0.8932322053675612,88,67,116,1443,9.043173862310384,11.90198366394399
brand_clean_second_grouped,apple,960,0.17916666666666667,0.1875,0.6666666666666666,0.6976744186046512,0.07614213197969544,0.3023255813953488,0.6818181818181818,0.8833333333333333,120,60,52,728,18.75,17.916666666666668
brand_clean_second_grouped,xiaomi,844,0.1552132701421801,0.11848341232227488,0.62,0.4732824427480916,0.05329593267882188,0.5267175572519084,0.5367965367965368,0.8732227488151659,62,38,69,675,11.848341232227488,15.52132701421801
brand_clean_second_grouped,adidas,331,0.03625377643504532,0.027190332326283987,0.2222222222222222,0.16666666666666666,0.0219435736677116,0.8333333333333334,0.19047619047619047,0.9486404833836858,2,7,10,312,2.719033232628399,3.625377643504532
brand_clean_second_grouped,defacto,329,0.06382978723404255,0.015197568389057751,0.4,0.09523809523809523,0.00974025974025974,0.9047619047619048,0.15384615384615385,0.9331306990881459,2,3,19,305,1.5197568389057752,6.382978723404255
brand_clean_second_grouped,huawei,297,0.17845117845117844,0.1447811447811448,0.7209302325581395,0.5849056603773585,0.04918032786885246,0.41509433962264153,0.6458333333333334,0.8855218855218855,31,12,22,232,14.47811447811448,17.845117845117844
brand_clean_second_grouped,oppo,202,0.15346534653465346,0.17326732673267325,0.6285714285714286,0.7096774193548387,0.07602339181286549,0.2903225806451613,0.6666666666666666,0.8910891089108911,22,13,9,158,17.326732673267326,15.346534653465346
brand_clean_second_grouped,lg,197,0.16243654822335024,0.13705583756345177,0.6296296296296297,0.53125,0.06060606060606061,0.46875,0.576271186440678,0.8730964467005076,17,10,15,155,13.705583756345177,16.243654822335024
brand_clean_second_grouped,bosch,184,0.16847826086956522,0.08695652173913043,0.875,0.45161290322580644,0.013071895424836602,0.5483870967741935,0.5957446808510638,0.8967391304347826,14,2,17,151,8.695652173913043,16.847826086956523
early_cart_group,No cart in first two events,12447,0.07704667791435688,0.0017674941753032859,0.36363636363636365,0.008342022940563087,0.0012186629526462396,0.9916579770594369,0.0163098878695209,0.9224712782196514,8,14,951,11474,0.17674941753032858,7.704667791435687
early_cart_group,At least one cart in first two events,1473,0.6164290563475899,0.9959266802443992,0.6175869120654397,0.9977973568281938,0.9929203539823008,0.0022026431718061676,0.7629473684210526,0.6177868295994569,906,561,2,4,99.59266802443992,61.642905634758996
early_event_gap_band,Typical gap,5266,0.12058488416255222,0.07994682871249525,0.5866983372921615,0.3889763779527559,0.03757287842798532,0.6110236220472441,0.4678030303030303,0.8932776300797569,247,174,388,4457,7.994682871249525,12.058488416255223
early_event_gap_band,Long gap,3857,0.09618874773139746,0.048742546020222974,0.5106382978723404,0.2587601078167116,0.026391279403327597,0.7412398921832885,0.3434704830053667,0.9048483277158413,96,92,275,3394,4.874254602022297,9.618874773139746
early_event_gap_band,Moderate gap,2415,0.18343685300207038,0.1937888198757764,0.6346153846153846,0.6704288939051919,0.08671399594320486,0.3295711060948081,0.6520307354555434,0.8687370600414078,297,171,146,1801,19.37888198757764,18.34368530020704
early_event_gap_band,Very long gap,1776,0.08783783783783784,0.03209459459459459,0.45614035087719296,0.16666666666666666,0.019135802469135803,0.8333333333333334,0.24413145539906103,0.9093468468468469,26,31,130,1589,3.209459459459459,8.783783783783784
early_event_gap_band,Short gap,522,0.421455938697318,0.5708812260536399,0.7013422818791947,0.95,0.2947019867549669,0.05,0.806949806949807,0.8084291187739464,209,89,11,213,57.08812260536399,42.1455938697318
first_category_group,construction,4002,0.16041979010494753,0.1454272863568216,0.6529209621993127,0.5919003115264797,0.06011904761904762,0.40809968847352024,0.6209150326797386,0.8840579710144928,380,202,262,3158,14.54272863568216,16.041979010494753
first_category_group,appliances,2904,0.12293388429752067,0.09228650137741047,0.5783582089552238,0.4341736694677871,0.04436592069100903,0.5658263305322129,0.496,0.8915289256198347,155,113,202,2434,9.228650137741047,12.293388429752067
first_category_group,apparel,1526,0.09895150720838794,0.0674967234600262,0.5631067961165048,0.3841059602649007,0.03272727272727273,0.6158940397350994,0.4566929133858268,0.90956749672346,58,45,93,1330,6.749672346002621,9.895150720838794
first_category_group,unknown,1388,0.15345821325648415,0.12896253602305474,0.5977653631284916,0.5023474178403756,0.06127659574468085,0.49765258215962443,0.5459183673469388,0.8717579250720461,107,72,106,1103,12.896253602305475,15.345821325648416
first_category_group,electronics,1305,0.12490421455938697,0.08122605363984674,0.6132075471698113,0.3987730061349693,0.03590192644483362,0.6012269938650306,0.483271375464684,0.8934865900383142,65,41,98,1101,8.122605363984674,12.490421455938696
first_category_group,sport,772,0.13601036269430053,0.11658031088082901,0.6111111111111112,0.5238095238095238,0.05247376311844078,0.47619047619047616,0.5641025641025641,0.8898963730569949,55,35,50,632,11.658031088082902,13.601036269430052
first_category_group,furniture,729,0.13443072702331962,0.08916323731138547,0.5538461538461539,0.3673469387755102,0.04595879556259905,0.6326530612244898,0.44171779141104295,0.8751714677640604,36,29,62,602,8.916323731138547,13.443072702331962
first_category_group,computers,473,0.12050739957716702,0.06553911205073996,0.6129032258064516,0.3333333333333333,0.028846153846153848,0.6666666666666666,0.4318181818181818,0.8942917547568711,19,12,38,404,6.553911205073996,12.050739957716702
first_category_group,kids,465,0.1053763440860215,0.08172043010752689,0.6052631578947368,0.46938775510204084,0.036057692307692304,0.5306122448979592,0.5287356321839081,0.9118279569892473,23,15,26,401,8.172043010752688,10.53763440860215
first_category_group,accessories,173,0.10982658959537572,0.09248554913294797,0.625,0.5263157894736842,0.03896103896103896,0.47368421052631576,0.5714285714285714,0.9132947976878613,10,6,9,148,9.248554913294797,10.982658959537572
first_category_group,auto,108,0.05555555555555555,0.05555555555555555,0.5,0.5,0.029411764705882353,0.5,0.5,0.9444444444444444,3,3,3,99,5.555555555555555,5.555555555555555
first_event_day_name,Tuesday,3779,0.12728234982799683,0.10558348769515745,0.5864661654135338,0.4864864864864865,0.05003032140691328,0.5135135135135135,0.5318181818181819,0.8909764487959778,234,165,247,3133,10.558348769515744,12.728234982799682
first_event_day_name,Thursday,3711,0.13904607922392886,0.11048234977095123,0.6,0.47674418604651164,0.0513302034428795,0.5232558139534884,0.531317494600432,0.8830503907302614,246,164,270,3031,11.048234977095122,13.904607922392886
first_event_day_name,Wednesday,3661,0.13493580988800874,0.10133843212237094,0.633423180592992,0.4757085020242915,0.0429428481212504,0.5242914979757085,0.5433526011560693,0.8921059819721388,235,136,259,3031,10.133843212237094,13.493580988800874
first_event_day_name,Monday,2769,0.13578909353557242,0.11159263271939328,0.6440129449838188,0.5292553191489362,0.045967404931048894,0.47074468085106386,0.581021897810219,0.8963524738172626,199,110,177,2283,11.159263271939327,13.578909353557242
first_event_hour_group,Afternoon,5064,0.12756714060031596,0.10011848341232228,0.5976331360946746,0.46904024767801855,0.046174739701222274,0.5309597523219814,0.5255854293148309,0.8919826224328594,303,204,343,4214,10.011848341232229,12.756714060031596
first_event_hour_group,Morning,4876,0.16406890894175555,0.1359721082854799,0.6365007541478129,0.5275,0.05912659470068695,0.4725,0.5768967874231032,0.8730516817063166,422,241,378,3835,13.59721082854799,16.406890894175554
first_event_hour_group,Evening,2151,0.07810320781032078,0.06601580660158066,0.5915492957746479,0.5,0.02924861321230459,0.5,0.5419354838709678,0.9339841933984193,84,58,84,1925,6.601580660158065,7.810320781032078
first_event_hour_group,Late night / early morning,1829,0.13832695462001093,0.0967741935483871,0.5932203389830508,0.4150197628458498,0.04568527918781726,0.5849802371541502,0.4883720930232558,0.8797156916347731,105,72,148,1504,9.67741935483871,13.832695462001093
first_price_band,Lower-middle price quartile,3496,0.11899313501144165,0.08037757437070939,0.5551601423487544,0.375,0.040584415584415584,0.625,0.44763271162123386,0.8898741418764302,156,125,260,2955,8.037757437070939,11.899313501144166
first_price_band,Lowest price quartile,3478,0.13801035077630822,0.10149511213341,0.5325779036827195,0.39166666666666666,0.055036691127418276,0.6083333333333333,0.45138055222088835,0.8686026451983899,188,165,292,2833,10.149511213341,13.801035077630821
first_price_band,Upper-middle price quartile,3470,0.16224783861671468,0.13948126801152738,0.6900826446280992,0.5932504440497336,0.05159958720330237,0.4067495559502664,0.6380133715377269,0.8907780979827089,334,150,229,2757,13.948126801152739,16.22478386167147
first_price_band,Highest price quartile,3466,0.11771494518176573,0.1070398153491056,0.6361185983827493,0.5784313725490197,0.04414650098103336,0.4215686274509804,0.6059050064184852,0.9114252740911714,236,135,172,2923,10.703981534910561,11.771494518176572
second_category_group,construction,4005,0.15905118601747814,0.1453183520599251,0.6529209621993127,0.5965463108320251,0.05997624703087886,0.40345368916797486,0.623461853978671,0.8853932584269663,380,202,257,3166,14.531835205992511,15.905118601747814
second_category_group,appliances,2900,0.12310344827586207,0.09206896551724138,0.5805243445692884,0.4341736694677871,0.04404246952418404,0.5658263305322129,0.4967948717948718,0.8917241379310344,155,112,202,2431,9.206896551724137,12.310344827586208
second_category_group,apparel,1565,0.09840255591054313,0.06645367412140575,0.5576923076923077,0.37662337662337664,0.03260099220411056,0.6233766233766234,0.4496124031007752,0.9092651757188498,58,46,96,1365,6.645367412140575,9.840255591054312
second_category_group,unknown,1399,0.14939242315939957,0.12866333095067906,0.5944444444444444,0.5119617224880383,0.06134453781512605,0.4880382775119617,0.5501285347043702,0.8749106504646176,107,73,102,1117,12.866333095067905,14.939242315939957
second_category_group,electronics,1305,0.1318007662835249,0.08199233716475096,0.6074766355140186,0.37790697674418605,0.037069726390114736,0.622093023255814,0.4659498207885305,0.885823754789272,65,42,107,1091,8.199233716475096,13.180076628352491
second_category_group,sport,770,0.13636363636363635,0.11688311688311688,0.6111111111111112,0.5238095238095238,0.05263157894736842,0.47619047619047616,0.5641025641025641,0.8896103896103896,55,35,50,630,11.688311688311687,13.636363636363635
second_category_group,furniture,743,0.1278600269179004,0.08613728129205922,0.5625,0.37894736842105264,0.043209876543209874,0.6210526315789474,0.4528301886792453,0.882907133243607,36,28,59,620,8.613728129205922,12.78600269179004
second_category_group,kids,459,0.10893246187363835,0.08278867102396514,0.6052631578947368,0.46,0.03667481662591687,0.54,0.5227272727272727,0.9084967320261438,23,15,27,394,8.278867102396514,10.893246187363834
second_category_group,computers,432,0.13194444444444445,0.06944444444444445,0.6333333333333333,0.3333333333333333,0.029333333333333333,0.6666666666666666,0.4367816091954023,0.8865740740740741,19,11,38,364,6.944444444444445,13.194444444444445
second_category_group,accessories,176,0.10227272727272728,0.09090909090909091,0.625,0.5555555555555556,0.0379746835443038,0.4444444444444444,0.5882352941176471,0.9204545454545454,10,6,8,152,9.090909090909092,10.227272727272728
weekend_group,Weekday,13920,0.1341235632183908,0.1069683908045977,0.6138347884486233,0.4895554365291912,0.04770596531983738,0.5104445634708088,0.5446960667461264,0.8902298850574712,914,575,953,11478,10.696839080459771,13.41235632183908
